CallerId,ReceiverId,Type,ReceiverLAC,ReceiverCell,Duration,Date,Day,IsWeekend,Direction,GeoDistance,alter,CallerCell,CallerLAC
18540211786000122,19424578050208122,CALL,455,17791,1,20170301T124713,2017-3-1,0,In,0,mm,17791,455
18505610608816122,13218811916256122,CALL,198,61823,1,20170301T192725,2017-3-1,0,In,0,mm,61823,1806
18779378664320122,19274591662976122,CALL,164,12281,29,20170301T192525,2017-3-1,0,In,0,mm,12281,164
18578249895792122,18913138649952122,CALL,1768,29752,1,20170301T150701,2017-3-1,0,In,0,mm,41681,150
18586262996512122,19322127067232122,CALL,146,42092,1,20170301T142650,2017-3-1,0,In,0,mm,,
19708712226528122,19204522639072122,CALL,146,58531,1,20170301T072949,2017-3-1,0,In,0,mm,56392,146
19603420624256122,18467446054032122,CALL,2251,63823,1,20170301T203649,2017-3-1,0,In,0,mm,63823,2251
18826394977216122,18946493571216122,CALL,448,4904,1,20170301T094834,2017-3-1,0,In,0,mm,4904,448
19467461202352122,18553103088464122,CALL,483,31491,1,20170301T114848,2017-3-1,0,In,0,mm,31491,483
18597091893296122,18677809316272122,CALL,235,15022,1,20170301T133756,2017-3-1,0,In,0,mm,15463,235
18597091893296122,18677809316272122,CALL,235,15022,1,20170301T133756,2017-3-1,0,In,0,mm,0,0
18597091893296122,18677809316272122,CALL,235,15022,1,20170301T133756,2017-3-1,0,In,0,mm,0,0
19141527971648122,19057771475840122,CALL,137,57711,1,20170301T155646,2017-3-1,0,In,0,mm,44763,161
19018914239088122,18817757723056122,CALL,304,28651,2,20170301T155104,2017-3-1,0,In,0,mm,28651,304
19555097942464122,19134272548480122,CALL,393,15011,2,20170301T172428,2017-3-1,0,In,0,mm,17893,393
19604614362368122,14004333632016122,CALL,398,33291,5,20170301T071916,2017-3-1,0,In,0,mm,33291,398
14027884924784122,18586664389232122,CALL,110,46351,1,20170301T114434,2017-3-1,0,In,0,mm,62631,755
19603986080544122,19432646698864122,CALL,352,8872,2,20170301T165407,2017-3-1,0,In,0,mm,1227,1175
18525899829856122,18763898759232122,CALL,199,43022,8,20170301T124335,2017-3-1,0,In,0,mm,43022,199
18640815899344122,19680646294448122,CALL,305,27623,25,20170301T103851,2017-3-1,0,In,0,mm,53011,198
18687745674960122,19330017136816122,CALL,462,7463,1,20170301T082756,2017-3-1,0,In,0,mm,14412,461
19175578605008122,19353810786896122,CALL,452,1473,1,20170301T081206,2017-3-1,0,In,0,mm,1473,452
18933300843792122,19053191377824122,CALL,108,47841,1,20170301T145306,2017-3-1,0,In,0,mm,47011,1740
19267998170608122,13439938246080122,CALL,433,35332,2,20170301T193717,2017-3-1,0,In,0,mm,0,0
19267998170608122,13439938246080122,CALL,433,35332,2,20170301T193717,2017-3-1,0,In,0,mm,36493,433
19172550832304122,19498373708128122,CALL,329,2931,1,20170301T094614,2017-3-1,0,In,0,mm,0,0
19172550832304122,19498373708128122,CALL,329,2931,1,20170301T094614,2017-3-1,0,In,0,mm,18561,332
19254826680544122,19118798161136122,CALL,152,58433,1,20170301T094621,2017-3-1,0,In,0,mm,48103,152
18837171872240122,19463866398752122,CALL,459,24533,4,20170301T200728,2017-3-1,0,In,0,mm,0,0
19182227565920122,18513794958080122,CALL,387,24302,1,20170301T093324,2017-3-1,0,In,0,mm,18282,387
18451887153904122,18690949896384122,CALL,448,0.0022,1,20170301T142148,2017-3-1,0,In,0,mm,0.0022,448
19078549367872122,18719914188640122,CALL,352,62472,3,20170301T170220,2017-3-1,0,In,0,mm,12402,353
19078549367872122,18719914188640122,CALL,352,62472,3,20170301T170220,2017-3-1,0,In,0,mm,12402,353
18963893413040122,19027601999792122,CALL,326,11401,1,20170301T163949,2017-3-1,0,In,0,mm,15062,359
19615641408352122,18577789461888122,CALL,483,23281,1,20170301T142608,2017-3-1,0,In,0,mm,23281,483
19610220826928122,18600871389152122,CALL,467,23753,2,20170301T112357,2017-3-1,0,In,0,mm,62812,474
19185491172560122,19554009200272122,CALL,356,16171,3,20170301T161010,2017-3-1,0,In,0,mm,56272,357
19386967135536122,18828892040864122,CALL,302,33152,2,20170301T073121,2017-3-1,0,In,0,mm,0,0
13342503157040122,19222098664976122,CALL,449,30552,8,20170301T070328,2017-3-1,0,In,0,mm,,
19496250580800122,19195058054112122,CALL,356,33341,7,20170301T223316,2017-3-1,0,In,0,mm,45563,194
18585321208912122,18792794589120122,CALL,144,30421,1,20170301T095046,2017-3-1,0,In,0,mm,41841,144
19547872304528122,19233600170784122,CALL,406,55181,3,20170301T185414,2017-3-1,0,In,0,mm,55181,406
19054753732992122,19586176615696122,CALL,397,16282,1,20170301T111158,2017-3-1,0,In,0,mm,15383,397
19054753732992122,19586176615696122,CALL,397,16282,1,20170301T111158,2017-3-1,0,In,0,mm,15383,397
17629816510560122,19349414640144122,CALL,348,62631,11,20170301T200913,2017-3-1,0,In,0,mm,62631,348
19564514389408122,19378474321888122,CALL,361,26703,1,20170301T205252,2017-3-1,0,In,0,mm,,
19206131120992122,18986953150240122,CALL,487,32133,2,20170301T205351,2017-3-1,0,In,0,mm,32133,487
19206131120992122,18986953150240122,CALL,487,32133,2,20170301T205351,2017-3-1,0,In,0,mm,32133,487
19215765895936122,19483614761792122,CALL,463,12624,1,20170301T211536,2017-3-1,0,In,0,mm,12624,463
18450566640000122,18766431985936122,CALL,293,33751,4,20170301T164913,2017-3-1,0,In,0,mm,33751,293
18450566640000122,18766431985936122,CALL,293,33751,4,20170301T164913,2017-3-1,0,In,0,mm,33751,293
18918799656816122,19714801248896122,CALL,387,18282,2,20170301T155707,2017-3-1,0,In,0,mm,0,0
19254862684816122,19291304724304122,CALL,137,47501,1,20170301T133111,2017-3-1,0,In,0,mm,14281,113
19254862684816122,19291304724304122,CALL,137,47501,1,20170301T133111,2017-3-1,0,In,0,mm,14281,113
19197906030400122,19015082939952122,CALL,1703,40852,1,20170301T134358,2017-3-1,0,In,0,mm,45181,188
19236408795104122,19211082707408122,CALL,110,10531,1,20170301T112045,2017-3-1,0,In,0,mm,0,0
19236408795104122,19211082707408122,CALL,110,10531,1,20170301T112045,2017-3-1,0,In,0,mm,10531,110
19236408795104122,19211082707408122,CALL,110,10531,1,20170301T112045,2017-3-1,0,In,0,mm,60362,109
19236408795104122,19211082707408122,CALL,110,10531,1,20170301T112045,2017-3-1,0,In,0,mm,0,0
19236408795104122,19211082707408122,CALL,110,10531,1,20170301T112045,2017-3-1,0,In,0,mm,56563,109
19236408795104122,19211082707408122,CALL,110,10531,1,20170301T112045,2017-3-1,0,In,0,mm,12141,146
19236408795104122,19211082707408122,CALL,110,10531,1,20170301T112045,2017-3-1,0,In,0,mm,56563,109
19236408795104122,19211082707408122,CALL,110,10531,1,20170301T112045,2017-3-1,0,In,0,mm,61952,109
19236408795104122,19211082707408122,CALL,110,10531,1,20170301T112045,2017-3-1,0,In,0,mm,0,0
19236408795104122,19211082707408122,CALL,110,10531,1,20170301T112045,2017-3-1,0,In,0,mm,56563,109
19236408795104122,19211082707408122,CALL,110,10531,1,20170301T112045,2017-3-1,0,In,0,mm,60362,109
19236408795104122,19211082707408122,CALL,110,10531,1,20170301T112045,2017-3-1,0,In,0,mm,56563,109
19308908775584122,19204889125776122,CALL,412,34501,1,20170301T093847,2017-3-1,0,In,0,mm,34501,412
19140090857360122,19380138047408122,CALL,499,28051,1,20170301T010917,2017-3-1,0,In,0,mm,0,0
18486665401712122,18813548544464122,CALL,389,24292,1,20170301T201402,2017-3-1,0,In,0,mm,24291,389
18528382708800122,19276756907760122,CALL,391,35522,22,20170301T183006,2017-3-1,0,In,0,mm,35522,391
19635453364384122,19753055953296122,CALL,145,42002,1,20170301T133612,2017-3-1,0,In,0,mm,41111,145
19435691937808122,13249624970320122,CALL,345,18991,1,20170301T092421,2017-3-1,0,In,0,mm,18991,345
18909290532944122,19445867478128122,CALL,377,33993,1,20170301T210945,2017-3-1,0,In,0,mm,0,0
18909290532944122,19445867478128122,CALL,377,33993,1,20170301T210945,2017-3-1,0,In,0,mm,14582,377
18473498873648122,18899699291280122,CALL,312,28023,2,20170301T133759,2017-3-1,0,In,0,mm,47882,485
19296785551024122,19166259135392122,CALL,338,0.0092,2,20170301T123403,2017-3-1,0,In,0,mm,0.0092,338
18599939512320122,19000780894576122,CALL,2029,14162,1,20170301T095120,2017-3-1,0,In,0,mm,0,0
19606062049024122,19664844679744122,CALL,378,17312,7,20170301T200140,2017-3-1,0,In,0,mm,34692,1603
18907321637808122,19106221211296122,CALL,193,55283,1,20170301T194637,2017-3-1,0,In,0,mm,14213,193
19643191768784122,19193828139712122,CALL,415,36031,1,20170301T160242,2017-3-1,0,In,0,mm,36031,415
19190067684704122,19338973096928122,CALL,1856,11567,1,20170301T115249,2017-3-1,0,In,0,mm,23133,1856
19336543834048122,18447903620608122,CALL,163,63511,2,20170301T092420,2017-3-1,0,In,0,mm,63512,163
19527760365824122,19603594929392122,CALL,460,27042,1,20170301T121314,2017-3-1,0,In,0,mm,0,0
19169126814128122,19633629214096122,CALL,753,35901,1,20170301T162222,2017-3-1,0,In,0,mm,35901,753
